 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,MinThr,MaxThr
178,C2-Composite.tif,3629,255,255,255,3387.733,1478.843,3387.733,1478.843,300.333,79.291,58.274,22.975,88.091,925395,925395,3353,1481,2.603,69.292,0,0
179,C2-Composite.tif,1194,255,255,255,322.545,1494.511,322.545,1494.511,208.794,49.349,30.806,75.137,62.968,304470,304470,301,1509,43.069,40.4,0,0
180,C2-Composite.tif,4823,255,255,255,3530.765,1506.088,3530.765,1506.088,357.103,87.035,70.556,22.037,101.178,1229865,1229865,3510,1550,47.003,74.123,0,0
181,C2-Composite.tif,2101,255,255,255,3439.467,1509.851,3439.467,1509.851,214.794,60.851,43.961,58.848,68.118,535755,535755,3416,1533,49.764,46.287,0,0
182,C2-Composite.tif,4073,255,255,255,3003.305,1531.944,3003.305,1531.944,287.948,85.056,60.971,14.187,88.566,1038615,1038615,2966,1557,25.408,65.614,0,0
183,C2-Composite.tif,3546,255,255,255,309.939,1546.579,309.939,1546.579,261.848,75.855,59.521,22.144,84.149,904230,904230,269,1554,3.406,64,0,0
184,C2-Composite.tif,1883,255,255,255,379.653,1538.403,379.653,1538.403,178.066,51.701,46.372,36.672,56.939,480165,480165,354,1551,30.619,48.701,0,0
185,C2-Composite.tif,1813,255,255,255,3691.407,1552.572,3691.407,1552.572,238.208,54.771,42.146,103.353,64.444,462315,462315,3663,1530,131.855,51.518,0,0
186,C2-Composite.tif,4560,255,255,255,2240.881,1604.277,2240.881,1604.277,380.96,89.647,64.765,47.688,111.072,1162800,1162800,2203,1634,43.176,69.673,0,0
187,C2-Composite.tif,2890,255,255,255,875.696,1588.931,875.696,1588.931,287.605,70.2,52.417,172.246,80.081,736950,736950,837,1614,15.945,56.754,0,0
188,C2-Composite.tif,4237,255,255,255,984.02,1600.004,984.02,1600.004,285.505,82.661,65.263,33.241,82.855,1080435,1080435,946,1616,23.471,66.236,0,0
189,C2-Composite.tif,3408,255,255,255,1662.023,1604.992,1662.023,1604.992,274.392,78.752,55.099,71.548,80.777,869040,869040,1642,1639,58.671,56.669,0,0
190,C2-Composite.tif,2119,255,255,255,3700.433,1602.685,3700.433,1602.685,285.806,66.96,40.293,38.149,88.323,540345,540345,3652,1622,30.63,48.191,0,0
191,C2-Composite.tif,2370,255,255,255,3448.461,1605.687,3448.461,1605.687,280.936,71.612,42.138,28.003,89.56,604350,604350,3412,1610,16.209,44.081,0,0
192,C2-Composite.tif,4679,255,255,255,3311.23,1624.017,3311.23,1624.017,325.203,95.451,62.414,25.307,104.809,1193145,1193145,3260,1640,15.495,67.561,0,0
193,C2-Composite.tif,1248,255,255,255,3496.23,1616.901,3496.23,1616.901,146.61,47.854,33.205,150.069,51.662,318240,318240,3476,1597,137.353,33.982,0,0
194,C2-Composite.tif,2899,255,255,255,2343.066,1639.24,2343.066,1639.24,240.049,83.811,44.041,132.423,89.095,739245,739245,2305,1613,135,44.305,0,0
195,C2-Composite.tif,2827,255,255,255,330.567,1653.947,330.567,1653.947,250.007,63.662,56.54,91.39,76.968,720885,720885,316,1626,114.567,57,0,0
196,C2-Composite.tif,4514,255,255,255,1927.957,1659.159,1927.957,1659.159,313.404,81.888,70.186,164.321,89.286,1151070,1151070,1883,1660,164.407,73,0,0
197,C2-Composite.tif,2473,255,255,255,2317.716,1667.117,2317.716,1667.117,227.605,76.152,41.348,129.72,81.006,630615,630615,2301,1625,118.78,41.638,0,0
198,C2-Composite.tif,1730,255,255,255,874.259,1661.687,874.259,1661.687,214.35,57.26,38.468,9.147,71.063,441150,441150,847,1652,166.159,43.347,0,0
199,C2-Composite.tif,4941,255,255,255,1458.71,1687.274,1458.71,1687.274,283.948,82.7,76.071,43.892,85.428,1259955,1259955,1435,1724,51.654,78.146,0,0
200,C2-Composite.tif,1808,255,255,255,3280.131,1681.293,3280.131,1681.293,208.149,53.876,42.728,107.595,70.385,461040,461040,3270,1653,112.557,44.548,0,0
201,C2-Composite.tif,1438,255,255,255,3466.431,1672.603,3466.431,1672.603,154.225,47.641,38.431,163.04,53.263,366690,366690,3447,1656,140.332,37.901,0,0
202,C2-Composite.tif,2086,255,255,255,457.317,1697.817,457.317,1697.817,210.208,65.984,40.252,132.852,68.819,531930,531930,432,1676,125.538,45.569,0,0
203,C2-Composite.tif,1365,255,255,255,867.564,1713.91,867.564,1713.91,163.723,50.726,34.262,14.92,51.923,348075,348075,843,1720,15.642,35.948,0,0
204,C2-Composite.tif,2998,255,255,255,2024.366,1741.65,2024.366,1741.65,239.078,70.72,53.976,4.286,76.4,764490,764490,1987,1731,165.6,57.96,0,0
205,C2-Composite.tif,1800,255,255,255,416.556,1741.76,416.556,1741.76,194.794,54.372,42.151,93.965,58.873,459000,459000,406,1715,110.898,45.957,0,0
206,C2-Composite.tif,1986,255,255,255,1922.613,1738.784,1922.613,1738.784,208.794,55.25,45.767,152.248,64.382,506430,506430,1891,1723,173.758,46.114,0,0
207,C2-Composite.tif,5238,255,255,255,754.296,1761.604,754.296,1761.604,383.588,92.912,71.78,145.946,112.112,1335690,1335690,696,1761,177.444,77.142,0,0
208,C2-Composite.tif,3852,255,255,255,3219.81,1761.105,3219.81,1761.105,408.316,87.076,56.325,149.187,93.107,982260,982260,3182,1731,155.913,69.077,0,0
209,C2-Composite.tif,3271,255,255,255,480.188,1772.222,480.188,1772.222,266.978,74.04,56.25,153.748,80.529,834105,834105,469,1732,114.974,60.074,0,0
210,C2-Composite.tif,1867,255,255,255,982.533,1766.302,982.533,1766.302,189.522,58.086,40.924,78.105,61.188,476085,476085,978,1797,78.69,43.981,0,0
211,C2-Composite.tif,2470,255,255,255,1889.539,1775.995,1889.539,1775.995,244.149,65.984,47.661,80.147,71.805,629850,629850,1881,1808,77.125,50.616,0,0
212,C2-Composite.tif,1579,255,255,255,914.231,1765.508,914.231,1765.508,166.995,56.714,35.449,44.016,60.141,402645,402645,891,1787,47.021,37.746,0,0
213,C2-Composite.tif,1584,255,255,255,1964.808,1771.928,1964.808,1771.928,170.309,49.579,40.679,88.462,55.082,403920,403920,1959,1800,74.197,41.134,0,0
214,C2-Composite.tif,1253,255,255,255,2070.075,1774.573,2070.075,1774.573,144.409,42.056,37.934,140.547,45.453,319515,319515,2061,1751,129.644,38.8,0,0
215,C2-Composite.tif,3587,255,255,255,3399.186,1789.223,3399.186,1789.223,265.563,80.568,56.686,26.475,83.63,914685,914685,3374,1822,48.879,58.571,0,0
216,C2-Composite.tif,2231,255,255,255,2026.687,1796.355,2026.687,1796.355,204.936,65.242,43.539,153.899,68.096,568905,568905,1998,1775,150.046,47.457,0,0
217,C2-Composite.tif,1854,255,255,255,899.393,1814.364,899.393,1814.364,195.037,58.964,40.035,126.793,63.127,472770,472770,880,1793,139.497,44.3,0,0
218,C2-Composite.tif,2074,255,255,255,3569.004,1833.818,3569.004,1833.818,215.078,67.453,39.149,50.71,70.178,528870,528870,3550,1863,49.044,44.174,0,0
219,C2-Composite.tif,2363,255,255,255,3641.751,1841.763,3641.751,1841.763,198.693,68.61,43.852,126.248,69.527,602565,602565,3612,1822,139.667,44.039,0,0
220,C2-Composite.tif,3820,255,255,255,2182.549,1848.456,2182.549,1848.456,288.191,73.124,66.514,172.077,79.649,974100,974100,2160,1819,128.884,69.494,0,0
221,C2-Composite.tif,3245,255,255,255,3449.179,1851.771,3449.179,1851.771,243.664,79.808,51.77,93.11,79.076,827475,827475,3440,1891,76.842,53.555,0,0
